STD_ID,mark
81776,4.128205128205129
83405,3.731707317073171
88312,3.6857142857142855
89341,3.861111111111111
89367,3.9761904761904763
89369,3.9361702127659575
89506,3.869565217391304
91284,4.043478260869565
91476,4.05
91774,4.0
91814,4.685714285714286
92325,3.25
92350,4.318181818181818
92353,4.545454545454546
92955,4.181818181818182
92974,3.9705882352941178
92990,4.0
96954,4.375
96970,4.75
96985,3.96875
96991,4.666666666666667
96992,4.571428571428571
96996,4.023255813953488
96997,4.32
96999,4.844444444444444
97001,4.023255813953488
97007,4.261904761904762
97011,4.0
97383,4.411764705882353
97441,5.0
97447,4.608695652173913
97448,4.902439024390244
97449,4.536585365853658
97455,4.771428571428571
97459,5.0
98792,4.818181818181818
99087,3.3947368421052633
99098,4.951219512195122
99099,4.627906976744186
99101,4.7560975609756095
99108,4.0
99109,4.863636363636363
99112,4.439024390243903
99113,3.789473684210526
99115,3.6511627906976742
99119,4.209302325581396
99120,4.4772727272727275
99125,4.476190476190476
99135,4.377777777777778
99136,4.644444444444445
100645,4.045454545454546
100646,4.204545454545454
100647,4.116279069767442
100650,4.619047619047619
100656,3.8048780487804876
100660,3.857142857142857
100662,4.2272727272727275
100667,4.4
100669,4.340425531914893
100671,3.7
100672,4.4523809523809526
100674,4.282051282051282
100676,4.225
100677,4.622222222222222
100685,3.9555555555555557
100686,4.651162790697675
100692,3.851063829787234
102655,3.707317073170732
102656,3.6530612244897958
102657,3.4864864864864864
102658,4.333333333333333
102661,3.6744186046511627
102662,3.3191489361702127
102663,3.4081632653061225
102665,3.425
102669,3.6818181818181817
102673,3.8
103004,4.324324324324325
103005,4.0
103008,4.325581395348837
103009,4.357142857142857
103011,4.228571428571429
103013,4.093023255813954
103014,4.209302325581396
103016,4.4186046511627906
103018,4.947368421052632
108385,4.743589743589744
110335,4.369565217391305
113069,4.171428571428572
113096,4.557377049180328
113097,4.363636363636363
113098,4.457142857142857
113099,4.0
113100,4.3125
113113,4.162162162162162
113114,4.552631578947368
113115,4.783783783783784
113116,4.685714285714286
113117,4.25
113118,4.315789473684211
113119,4.315789473684211
113120,4.157894736842105
113121,4.9411764705882355
113124,4.5
113125,4.264705882352941
113131,3.825
113132,4.394736842105263
113134,4.228571428571429
113135,4.305555555555555
113136,4.594594594594595
113146,4.634146341463414
114219,4.918918918918919
114222,4.277777777777778
114224,4.257142857142857
114229,4.078947368421052
114238,4.095238095238095
114251,5.0
114253,4.9393939393939394
114254,4.4
114272,5.0
114298,4.763636363636364
114299,4.859649122807017
114300,4.508474576271187
114301,4.722222222222222
114302,4.237288135593221
114303,4.584905660377358
114304,4.142857142857143
114306,4.68
114307,4.035714285714286
114310,4.677966101694915
114312,4.857142857142857
114314,4.833333333333333
114315,4.823529411764706
114316,5.0
114317,4.617647058823529
114318,4.628571428571429
114319,4.805555555555555
114338,4.666666666666667
114343,4.4
114344,4.323529411764706
114346,4.871794871794871
114347,4.684210526315789
114348,4.794871794871795
114349,4.885714285714286
114351,4.5476190476190474
114370,4.7727272727272725
114371,4.9375
114372,4.35
114373,4.842105263157895
114374,4.27027027027027
114375,4.857142857142857
116875,4.108108108108108
116876,4.325
116887,3.1714285714285713
116891,3.185185185185185
116941,4.548387096774194
116942,4.838709677419355
116944,4.555555555555555
116983,4.45
116984,4.9772727272727275
116988,4.536585365853658
116989,4.404761904761905
117054,3.2941176470588234
117074,4.0
117075,4.461538461538462
117077,4.607843137254902
117078,4.196428571428571
117079,4.270833333333333
117082,4.509433962264151
117083,4.511111111111111
117085,4.368421052631579
117086,3.9423076923076925
117087,4.838709677419355
117088,4.805555555555555
117091,4.53125
117092,4.911764705882353
117137,3.6923076923076925
117139,4.875
117140,3.7948717948717947
117141,4.7368421052631575
117142,4.225
117143,4.848484848484849
117145,4.72972972972973
117146,4.108108108108108
117147,3.8421052631578947
117148,4.2272727272727275
117151,4.666666666666667
117153,4.844444444444444
117155,3.8372093023255816
117156,4.575
117158,3.7674418604651163
117161,3.441860465116279
117162,4.25
117163,3.8181818181818183
117164,3.840909090909091
117165,3.840909090909091
117167,4.918918918918919
117171,4.694444444444445
117172,4.457142857142857
117173,4.371428571428571
117174,4.717948717948718
117176,4.735294117647059
117240,3.875
118611,4.325
118613,3.923076923076923
118621,3.6666666666666665
118624,4.05
120706,4.368421052631579
120707,3.8275862068965516
120708,4.181818181818182
120710,4.205128205128205
120712,4.354838709677419
120713,4.916666666666667
120715,4.291666666666667
120717,4.861111111111111
120718,4.054054054054054
120719,4.611111111111111
120720,4.666666666666667
120721,4.222222222222222
120724,4.264705882352941
120728,3.757575757575758
120729,4.176470588235294
120730,3.973684210526316
120772,4.088888888888889
120779,4.085714285714285
120802,4.45945945945946
120803,4.382352941176471
120804,4.129032258064516
122516,4.0
122518,4.571428571428571
122519,4.2894736842105265
122560,3.697674418604651
122924,3.1363636363636362
122940,4.777777777777778
122941,4.878787878787879
122952,4.205128205128205
139056,3.2222222222222223
139057,4.035714285714286
139071,4.0
139074,4.037037037037037
140114,4.03030303030303
140118,3.8780487804878048
140119,3.9166666666666665
140121,4.7317073170731705
140122,4.1
140123,3.823529411764706
141742,4.588235294117647
141744,4.9714285714285715
141745,5.0
141747,4.54054054054054
141748,4.8108108108108105
141749,4.722222222222222
141750,4.756756756756757
141751,4.621621621621622
141752,4.857142857142857
141754,4.6
141755,4.371428571428571
141758,4.2727272727272725
141763,4.702702702702703
141766,4.696969696969697
141771,4.470588235294118
141774,4.8125
141779,4.526315789473684
141781,4.595238095238095
141782,4.243243243243243
141788,4.935483870967742
141790,4.3076923076923075
141794,4.5
141822,4.947368421052632
141823,4.228571428571429
141826,3.96875
141828,3.3421052631578947
141829,3.4358974358974357
141840,5.0
141841,3.878787878787879
141845,4.114285714285714
141848,4.545454545454546
141869,4.928571428571429
141871,4.2
141880,4.333333333333333
141882,4.0
141883,3.896551724137931
141884,3.53125
141886,3.8333333333333335
141887,4.866666666666666
141892,4.653846153846154
141893,4.774193548387097
141894,4.76
141896,4.84
141898,4.304347826086956
141899,4.434782608695652
141904,4.44
141907,4.730769230769231
141911,4.5
141912,3.9130434782608696
141913,4.52
141919,4.3125
141921,3.967741935483871
141922,4.785714285714286
141948,4.9375
141956,4.973684210526316
141957,4.526315789473684
141961,4.675675675675675
141964,4.758620689655173
141976,4.45945945945946
141996,4.5
141998,3.8157894736842106
141999,3.6842105263157894
142001,3.5476190476190474
142002,4.088235294117647
142245,5.0
142246,3.5625
142247,4.916666666666667
142255,4.454545454545454
142258,4.545454545454546
142259,5.0
142264,4.696969696969697
142265,4.352941176470588
142266,4.378378378378378
142696,4.7
142697,3.5428571428571427
142698,4.72972972972973
142712,4.075
142723,4.551724137931035
142736,4.518518518518518
142745,5.0
142751,4.678571428571429
142765,4.351351351351352
142818,4.888888888888889
142819,4.484848484848484
142820,4.1
142822,4.516129032258065
142826,4.884615384615385
148510,3.72972972972973
148518,4.147058823529412
148523,3.658536585365854
149593,4.410256410256411
149597,3.7837837837837838
149600,3.810810810810811
149639,4.2926829268292686
151144,4.935483870967742
151150,5.0
151154,4.0
151155,4.103448275862069
151156,3.9705882352941178
151158,4.137931034482759
151159,4.2
151240,3.3870967741935485
151241,3.7777777777777777
151242,3.875
151246,3.433333333333333
151247,4.358974358974359
151249,3.810810810810811
151250,3.710526315789474
151253,3.1904761904761907
151259,4.538461538461538
151260,3.2777777777777777
151261,3.8620689655172415
151262,4.28125
151266,4.157894736842105
151269,4.7
151278,4.228571428571429
151282,3.9444444444444446
151285,3.9166666666666665
151296,3.738095238095238
151297,3.525
151303,3.8461538461538463
152629,4.827586206896552
154184,3.658536585365854
154423,3.8666666666666667
170169,4.642857142857143
170260,4.5625
170261,4.6
170280,4.642857142857143
170281,4.866666666666666
170290,4.6875
170295,4.6875
170302,4.666666666666667
170303,4.75
170309,4.647058823529412
170311,4.4
170315,4.466666666666667
170349,3.4375
170352,3.7027027027027026
170355,3.948717948717949
171335,3.9
171875,3.5
171886,3.7837837837837838
171917,3.7027027027027026
171918,3.675675675675676
171966,4.0
171989,3.761904761904762
171992,3.8684210526315788
171993,4.025
171995,3.388888888888889
171996,3.8
172017,3.9743589743589745
172029,3.973684210526316
172037,3.638888888888889
172058,3.8857142857142857
172059,3.6842105263157894
172060,3.825
172062,4.230769230769231
178329,3.9302325581395348
178341,4.2727272727272725
178342,4.525
178343,4.377777777777778
178344,4.902439024390244
178345,4.225
178346,4.555555555555555
178351,4.688888888888889
178356,4.214285714285714
178357,4.590909090909091
178364,4.733333333333333
178371,3.883720930232558
178376,4.404761904761905
178377,4.25531914893617
178379,4.088888888888889
178381,3.5121951219512195
178384,4.5
178386,3.902439024390244
178392,4.186046511627907
178399,4.555555555555555
178401,3.6382978723404253
178412,4.394736842105263
181994,5.0
182012,5.0
182014,4.25
182017,4.944444444444445
182117,4.785714285714286
182793,4.386363636363637
182813,4.116279069767442
184562,4.529411764705882
184579,4.75
184582,4.857142857142857
184587,4.411764705882353
184592,4.294117647058823
184625,4.8
184631,4.6923076923076925
184633,4.866666666666666
184634,4.785714285714286
184636,4.933333333333334
184646,4.666666666666667
184647,4.4
184651,4.8
184656,4.428571428571429
184657,4.9411764705882355
184659,4.642857142857143
184660,4.882352941176471
184663,4.923076923076923
184664,4.733333333333333
184666,5.0
184673,4.933333333333334
184674,5.0
185075,4.333333333333333
